sleep_start_day,sleep_start_time,sleep_end,sleep_end_time
2022-01-04,2.591666667,2022-01-04,5.441666667
2022-01-04,10.28333333,2022-01-04,14.25
2022-01-05,2.291666667,2022-01-05,4.925
2022-01-05,9.791666667,2022-01-05,13.90833333
2022-01-05,23.78333333,2022-01-06,10.78333333
2022-01-07,1.666666667,2022-01-07,10.46666667
2022-01-08,1.975,2022-01-08,10.875
2022-01-09,3.391666667,2022-01-09,9.091666667
2022-01-09,14.45,2022-01-09,16.01666667
2022-01-10,0.383333333,2022-01-10,6.7
2022-01-10,18.24166667,2022-01-10,20.04166667
2022-01-10,23.375,2022-01-11,9.591666667
2022-01-11,23.75,2022-01-12,6.816666667
2022-01-12,16.88333333,2022-01-12,19.4
2022-01-12,23.85,2022-01-13,5.883333333
2022-01-13,17.9,2022-01-13,19.48333333
2022-01-14,1.541666667,2022-01-14,11.04166667
2022-01-14,14.59166667,2022-01-14,16.325
2022-01-15,16.86666667,2022-01-15,19.75
2022-01-16,0.708333333,2022-01-16,2.925
2022-01-16,8.633333333,2022-01-16,11.5
2022-01-16,15.25,2022-01-16,17.06666667
2022-01-17,1.05,2022-01-17,9.616666667
2022-01-17,23.01666667,2022-01-18,8.05
